name	patrM	patrF
Абакум	Абакумович	Абакумовна
Абрам	Абрамович	Абрамовна
Абросим	Абросимович	Абросимовна
Аввакум	Аввакумович	Аввакумовна
Август	Августович	Августовна
Авдей	Авдеевич	Авдеевна
Авдий	Авдиевич	Авдиевна
Авель	Авелевич	Авелевна
Авенир	Авенирович	Авенировна
Аверий	Авериевич	Авериевна
Аверкий	Аверкиевич	Аверкиевна
Аверьян	Аверьянович	Аверьяновна
Авксентий	Авксентиевич|Авксентьевич	Авксентиевна|Авксентьевна
Авраам	Авраамович	Авраамовна
Авраамий	Авраамиевич|Авраамьевич	Авраамиевна|Авраамьевна
Аврам	Аврамович	Аврамовна
Аврамий	Аврамиевич|Аврамьевич	Аврамиевна|Аврамьевна
Аврелиан	Аврелианович	Аврелиановна
Автоном	Автономович	Автономовна
Агап	Агапович	Агаповна
Агапий	Агапиевич|Агапьевич	Агапиевна|Агапьевна
Агапит	Агапитович	Агапитовна
Агафангел	Агафангелович	Агафангеловна
Агафон	Агафонович	Агафоновна
Аггей	Аггеевич	Аггеевна
Адам	Адамович	Адамовна
Адриан	Адрианович	Адриановна
Азар	Азарович	Азаровна
Азарий	Азариевич|Азарьевич	Азариевна|Азарьевна
Акакий	Акакиевич	Акакиевна
Акила	Акилович	Акиловна
Аким	Акимович	Акимовна
Акиндин	Акиндинович	Акиндиновна
Акинф	Акинфович	Акинфовна
Акинфий	Акинфиевич|Акинфьевич	Акинфиевна|Акинфьевна
Аксён	Аксёнович	Аксёновна
Аксентий	Аксентиевич|Аксентьевич	Аксентиевна|Аксентьевна
Александр	Александрович	Александровна
Алексей	Алексеевич	Алексеевна
Алексий	Алексиевич	Алексиевна
Альберт	Альбертович	Альбертовна
Альфред	Альфредович	Альфредовна
Амвросий	Амвросиевич|Амвросьевич	Амвросиевна|Амвросьевна
Амос	Амосович	Амосовна
Амфилохий	Амфилохиевич|Амфилохьевич	Амфилохиевна|Амфилохьевна
